1,00,00,00.22,+1,01,05,20.4,9.10,F5,3.54,1.39,0.482,0.025
2,00,00,00.91,-1,19,29,55.8,9.27,K3V,21.90,3.10,0.999,0.002
3,00,00,01.20,+1,38,51,33.4,6.61,B9,2.81,0.63,-0.019,0.004
4,00,00,02.01,-1,51,53,36.8,8.06,F0V,7.75,0.97,0.370,0.009
5,00,00,02.39,-1,40,35,28.4,8.55,G8III,2.87,1.11,0.902,0.013
6,00,00,04.35,+1,03,56,47.4,12.31,M0V:,18.80,4.99,1.336,0.020
7,00,00,05.41,+1,20,02,11.8,9.64,G0,17.74,1.30,0.740,0.020
8,00,00,06.55,+1,25,53,11.3,9.05,M6e-M8.5eTc,5.17,1.95,1.102,0.051
9,00,00,08.48,+1,36,35,09.4,8.59,G5,4.81,0.99,1.067,0.023
10,00,00,08.70,-1,50,52,01.5,8.59,F6V,10.76,1.10,0.489,0.011
11,00,00,08.95,+1,46,56,24.0,7.34,A2,4.29,0.84,0.081,0.007
12,00,00,09.82,-1,35,57,36.8,8.43,K4III,4.06,1.16,1.484,0.020
13,00,00,10.00,-1,22,35,40.9,8.80,K0III,3.49,1.48,1.128,0.023
14,00,00,11.59,-1,00,21,37.5,7.25,K0,5.11,0.99,1.200,0.015
15,00,00,12.07,+1,50,47,28.2,8.60,K2,2.45,1.16,1.166,0.018
17,00,00,12.26,-1,40,11,32.4,8.15,F3V,6.15,1.00,0.425,0.007
16,00,00,12.34,-1,54,54,50.9,11.71,,0.53,2.63,0.421,0.015
18,00,00,12.75,-1,04,03,13.5,11.03,K5,19.93,2.36,1.567,0.197
19,00,00,12.80,+1,38,18,14.7,6.53,G5,4.12,0.64,0.955,0.005
20,00,00,15.11,+1,23,31,45.4,8.51,G0,10.76,1.06,0.516,0.015
21,00,00,15.90,+1,08,00,26.0,7.55,K2,5.84,0.95,1.438,0.017
22,00,00,16.83,-1,49,21,08.2,8.69,G8/K0III/IV,4.47,1.15,0.962,0.014
23,00,00,17.86,+1,13,18,44.0,7.57,F2V,12.21,0.95,0.456,0.015
24,00,00,18.25,-1,23,27,09.9,9.05,G0V,9.73,1.21,0.528,0.015
25,00,00,19.05,-1,44,17,25.1,6.28,G3IV,13.74,0.98,0.763,0.003
26,00,00,20.24,-1,13,23,35.9,9.13,F7V,9.19,1.34,0.535,0.020
